"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"1:45:42.0834690 AM","ella.exe","6300","CreateFile","C:\Windows\SysWOW64\userenv.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:45:42.0834941 AM","ella.exe","6300","QueryBasicInformationFile","C:\Windows\SysWOW64\userenv.dll","SUCCESS","CreationTime: 11/18/2020 6:49:31 PM, LastAccessTime: 2/13/2021 1:45:06 AM, LastWriteTime: 11/18/2020 6:49:31 PM, ChangeTime: 1/7/2021 12:49:22 PM, FileAttributes: A"
"1:45:42.0835032 AM","ella.exe","6300","CloseFile","C:\Windows\SysWOW64\userenv.dll","SUCCESS",""
"1:45:42.0835747 AM","ella.exe","6300","CreateFile","C:\Windows\SysWOW64\userenv.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:45:42.0836073 AM","ella.exe","6300","CreateFileMapping","C:\Windows\SysWOW64\userenv.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"1:45:42.0836285 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","REPARSE","Desired Access: Read"
"1:45:42.0836420 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS","Desired Access: Read"
"1:45:42.0836533 AM","ella.exe","6300","RegQueryValue","HKLM\System\CurrentControlSet\Control\CI\Disable26178932","NAME NOT FOUND","Length: 20"
"1:45:42.0836655 AM","ella.exe","6300","RegCloseKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS",""
"1:45:42.0836803 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","REPARSE","Desired Access: Query Value"
"1:45:42.0836918 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS","Desired Access: Query Value"
"1:45:42.0837026 AM","ella.exe","6300","RegQueryValue","HKLM\System\CurrentControlSet\Control\CI\Disable26178932","NAME NOT FOUND","Length: 80"
"1:45:42.0837141 AM","ella.exe","6300","RegCloseKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS",""
"1:45:42.0837250 AM","ella.exe","6300","CreateFileMapping","C:\Windows\SysWOW64\userenv.dll","SUCCESS","SyncType: SyncTypeOther"
"1:45:42.0838137 AM","ella.exe","6300","Load Image","C:\Windows\SysWOW64\userenv.dll","SUCCESS","Image Base: 0x74960000, Image Size: 0x25000"
"1:45:42.0838829 AM","ella.exe","6300","CloseFile","C:\Windows\SysWOW64\userenv.dll","SUCCESS",""
"1:45:42.0840724 AM","ella.exe","6300","CreateFile","C:\Windows\SysWOW64\sppc.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:45:42.0840971 AM","ella.exe","6300","QueryBasicInformationFile","C:\Windows\SysWOW64\sppc.dll","SUCCESS","CreationTime: 11/18/2020 6:49:20 PM, LastAccessTime: 2/13/2021 1:45:01 AM, LastWriteTime: 11/18/2020 6:49:20 PM, ChangeTime: 1/7/2021 12:49:22 PM, FileAttributes: A"
"1:45:42.0841064 AM","ella.exe","6300","CloseFile","C:\Windows\SysWOW64\sppc.dll","SUCCESS",""
"1:45:42.0841777 AM","ella.exe","6300","CreateFile","C:\Windows\SysWOW64\sppc.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:45:42.0842091 AM","ella.exe","6300","CreateFileMapping","C:\Windows\SysWOW64\sppc.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"1:45:42.0842647 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","REPARSE","Desired Access: Read"
"1:45:42.0842782 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS","Desired Access: Read"
"1:45:42.0842899 AM","ella.exe","6300","RegQueryValue","HKLM\System\CurrentControlSet\Control\CI\Disable26178932","NAME NOT FOUND","Length: 20"
"1:45:42.0843276 AM","ella.exe","6300","RegCloseKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS",""
"1:45:42.0843395 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","REPARSE","Desired Access: Query Value"
"1:45:42.0843512 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS","Desired Access: Query Value"
"1:45:42.0843620 AM","ella.exe","6300","RegQueryValue","HKLM\System\CurrentControlSet\Control\CI\Disable26178932","NAME NOT FOUND","Length: 80"
"1:45:42.0843735 AM","ella.exe","6300","RegCloseKey","HKLM\System\CurrentControlSet\Control\CI","SUCCESS",""
"1:45:42.0843843 AM","ella.exe","6300","CreateFileMapping","C:\Windows\SysWOW64\sppc.dll","SUCCESS","SyncType: SyncTypeOther"
"1:45:42.0844495 AM","ella.exe","6300","Load Image","C:\Windows\SysWOW64\sppc.dll","SUCCESS","Image Base: 0x6d700000, Image Size: 0x1c000"
"1:45:42.0845043 AM","ella.exe","6300","CloseFile","C:\Windows\SysWOW64\sppc.dll","SUCCESS",""
"1:45:42.0847933 AM","ella.exe","6300","CreateFile","C:\Windows\SysWOW64\BCP47Langs.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:45:42.0848187 AM","ella.exe","6300","QuerySecurityFile","C:\Windows\SysWOW64\BCP47Langs.dll","BUFFER OVERFLOW","Information: Owner"
"1:45:42.0848287 AM","ella.exe","6300","QuerySecurityFile","C:\Windows\SysWOW64\BCP47Langs.dll","SUCCESS","Information: Owner"
"1:45:42.0848371 AM","ella.exe","6300","CloseFile","C:\Windows\SysWOW64\BCP47Langs.dll","SUCCESS",""
"1:45:42.0849326 AM","ella.exe","6300","CreateFile","C:\Windows\SysWOW64\sppc.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:45:42.0849576 AM","ella.exe","6300","QuerySecurityFile","C:\Windows\SysWOW64\sppc.dll","BUFFER OVERFLOW","Information: Owner"
"1:45:42.0849664 AM","ella.exe","6300","QuerySecurityFile","C:\Windows\SysWOW64\sppc.dll","SUCCESS","Information: Owner"
"1:45:42.0849741 AM","ella.exe","6300","CloseFile","C:\Windows\SysWOW64\sppc.dll","SUCCESS",""
"1:45:42.0850593 AM","ella.exe","6300","CreateFile","C:\Windows\SysWOW64\slc.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:45:42.0850833 AM","ella.exe","6300","QuerySecurityFile","C:\Windows\SysWOW64\slc.dll","BUFFER OVERFLOW","Information: Owner"
"1:45:42.0850919 AM","ella.exe","6300","QuerySecurityFile","C:\Windows\SysWOW64\slc.dll","SUCCESS","Information: Owner"
"1:45:42.0850995 AM","ella.exe","6300","CloseFile","C:\Windows\SysWOW64\slc.dll","SUCCESS",""
"1:45:42.0851784 AM","ella.exe","6300","CreateFile","C:\Windows\SysWOW64\userenv.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:45:42.0852021 AM","ella.exe","6300","QuerySecurityFile","C:\Windows\SysWOW64\userenv.dll","BUFFER OVERFLOW","Information: Owner"
"1:45:42.0852104 AM","ella.exe","6300","QuerySecurityFile","C:\Windows\SysWOW64\userenv.dll","SUCCESS","Information: Owner"
"1:45:42.0852178 AM","ella.exe","6300","CloseFile","C:\Windows\SysWOW64\userenv.dll","SUCCESS",""
"1:45:42.0853323 AM","ella.exe","6300","CreateFile","C:\Windows\SysWOW64\AppResolver.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:45:42.0853511 AM","ella.exe","6300","QuerySecurityFile","C:\Windows\SysWOW64\AppResolver.dll","BUFFER OVERFLOW","Information: Owner"
"1:45:42.0853592 AM","ella.exe","6300","QuerySecurityFile","C:\Windows\SysWOW64\AppResolver.dll","SUCCESS","Information: Owner"
"1:45:42.0853667 AM","ella.exe","6300","CloseFile","C:\Windows\SysWOW64\AppResolver.dll","SUCCESS",""
"1:45:42.0854954 AM","ella.exe","6300","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\f4576912-c358-4374-a354-9040d45abcc1","NAME NOT FOUND","Length: 528"
"1:45:42.0855439 AM","ella.exe","6300","QueryNameInformationFile","C:\Windows\SysWOW64\sppc.dll","SUCCESS","Name: \Windows\SysWOW64\sppc.dll"
"1:45:42.0857017 AM","ella.exe","6300","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"1:45:42.0857110 AM","ella.exe","6300","RegQueryKey","HKCU","SUCCESS","Query: Name"
"1:45:42.0857298 AM","ella.exe","6300","RegOpenKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced","SUCCESS","Desired Access: Query Value"
"1:45:42.0857706 AM","ella.exe","6300","RegSetInfoKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:45:42.0857808 AM","ella.exe","6300","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced\Start_NotifyNewApps","NAME NOT FOUND","Length: 144"
"1:45:42.0857975 AM","ella.exe","6300","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced","SUCCESS",""
"1:45:42.0858101 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"1:45:42.0858174 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: Name"
"1:45:42.0858368 AM","ella.exe","6300","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\Advanced","SUCCESS","Desired Access: Query Value"
"1:45:42.0858568 AM","ella.exe","6300","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\Advanced\Start_NotifyNewApps","NAME NOT FOUND","Length: 144"
"1:45:42.0858680 AM","ella.exe","6300","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\Advanced","SUCCESS",""
"1:45:42.0858940 AM","ella.exe","6300","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"1:45:42.0859014 AM","ella.exe","6300","RegQueryKey","HKCU","SUCCESS","Query: Name"
"1:45:42.0859165 AM","ella.exe","6300","RegOpenKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\StartPage","SUCCESS","Desired Access: Query Value"
"1:45:42.0859328 AM","ella.exe","6300","RegSetInfoKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\StartPage","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:45:42.0859413 AM","ella.exe","6300","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\StartPage\StartMenu_Start_Time","SUCCESS","Type: REG_BINARY, Length: 8, Data: 43 A1 76 F4 52 E2 D6 01"
"1:45:42.0859526 AM","ella.exe","6300","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\StartPage","SUCCESS",""
"1:45:42.0859746 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"1:45:42.0859819 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: Name"
"1:45:42.0859993 AM","ella.exe","6300","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion","SUCCESS","Desired Access: Query Value"
"1:45:42.0860113 AM","ella.exe","6300","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
