"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"11:32:54.1237482 PM","Sample_B.exe","3940","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Fonts","SUCCESS","Index: 123, Name: Arabic Typesetting (TrueType), Type: REG_SZ, Length: 26, Data: arabtype.ttf"
"11:32:54.1239044 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1240371 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:44 PM, ChangeTime: 1/2/2018 5:17:53 PM, FileAttributes: A"
"11:32:54.1240449 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS",""
"11:32:54.1241365 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1241525 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","AllocationSize: 626,688, EndOfFile: 623,628, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1241597 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:44 PM, ChangeTime: 1/2/2018 5:17:53 PM, FileAttributes: A"
"11:32:54.1241667 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS",""
"11:32:54.1242558 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1242715 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:44 PM, ChangeTime: 1/2/2018 5:17:53 PM, FileAttributes: A"
"11:32:54.1242785 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","AllocationSize: 626,688, EndOfFile: 623,628, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1242860 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\arabtype.ttf","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READONLY"
"11:32:54.1242919 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","AllocationSize: 626,688, EndOfFile: 623,628, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1243053 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\arabtype.ttf","SUCCESS","SyncType: SyncTypeOther"
"11:32:54.1243279 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Offset: 0, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1245142 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Offset: 106,496, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1247062 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Offset: 458,752, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1248917 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS",""
"11:32:54.1249947 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1250115 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:44 PM, ChangeTime: 1/2/2018 5:17:53 PM, FileAttributes: A"
"11:32:54.1250185 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","AllocationSize: 626,688, EndOfFile: 623,628, NumberOfLinks: 1, DeletePending: False, Directory: False"
